timestamp,student_id,attention_status,speech_status,speech_metric_ppm,speech_metric_coherence,speech_metric_prosody_label
2025-10-06T09:03:45.636530,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:03:47.034591,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:03:55.348840,estudiante_01,ATENTO,HABLA FLUIDA,156.1,0.89,CALM
2025-10-06T09:03:58.069347,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:03:59.369991,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,146.6,0.43,CALM
2025-10-06T09:04:00.082828,estudiante_04,DISTRACCION,LENGUAJE DESESTRUCTURADO,92.3,0.02,SAD
2025-10-06T09:04:01.344661,estudiante_03,SIN ATENCION VISUAL,HABLA LENTA,94.7,0.56,DISGUST
2025-10-06T09:04:05.602282,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:04:16.449701,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:04:25.101112,estudiante_03,ATENTO,HABLA LENTA,81.1,0.04,CALM
2025-10-06T09:04:32.624340,estudiante_02,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:04:34.220681,estudiante_01,ATENTO,HABLA FLUIDA,134.6,0.73,HAPPY
2025-10-06T09:04:39.536912,estudiante_02,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:04:39.648510,estudiante_03,OJOS CERRADOS,HABLA MUY CORTA,94.7,0.54,CALM
2025-10-06T09:04:42.053082,estudiante_03,DISTRACCION,DIFICULTAD DE FLUIDEZ,101.4,0.73,ANGRY
2025-10-06T09:04:43.520649,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:04:44.115245,estudiante_04,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:04:47.848903,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:04:49.676767,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:04:50.137517,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:04:50.857038,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:04:55.077306,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,111.7,0.04,SAD
2025-10-06T09:05:21.231603,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,143.7,0.27,ANGRY
2025-10-06T09:05:23.404888,estudiante_01,ATENTO,HABLA FLUIDA,131.7,0.88,NEUTRAL
2025-10-06T09:05:23.467851,estudiante_01,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:05:25.598972,estudiante_01,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:05:41.323838,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:06:19.443939,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,130.2,0.86,DISGUST
2025-10-06T09:06:21.549407,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:06:35.155291,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,139.6,0.28,CALM
2025-10-06T09:06:41.978076,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:06:42.448911,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:07:06.432638,estudiante_01,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:07:07.493483,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:07:13.258735,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,141.2,0.23,SURPRISED
2025-10-06T09:07:22.867424,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:07:32.708435,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:07:37.066425,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:07:51.259650,estudiante_02,OJOS CERRADOS,HABLA MUY CORTA,108.4,0.39,ANGRY
2025-10-06T09:08:00.610192,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:08:08.988781,estudiante_03,SIN ATENCION VISUAL,HABLA MUY CORTA,93.9,0.53,SAD
2025-10-06T09:08:12.802493,estudiante_04,SIN ATENCION VISUAL,HABLA LENTA,74.5,0.82,CALM
2025-10-06T09:08:17.992143,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:08:22.465414,estudiante_04,SIN ATENCION VISUAL,HABLA FLUIDA,133.9,0.83,SURPRISED
2025-10-06T09:08:45.059508,estudiante_02,SIN ATENCION VISUAL,HABLA LENTA,83.0,0.88,ANGRY
2025-10-06T09:08:46.854107,estudiante_03,ATENTO,HABLA LENTA,81.2,0.6,CALM
2025-10-06T09:08:52.500822,estudiante_04,DISTRACCION,HABLA MUY CORTA,86.2,0.66,SURPRISED
2025-10-06T09:08:53.339153,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:08:54.180448,estudiante_01,ATENTO,HABLA FLUIDA,131.6,0.74,HAPPY
2025-10-06T09:08:56.964550,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:09:01.241636,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,148.2,0.81,FEARFUL
2025-10-06T09:09:03.302732,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:09:03.777337,estudiante_04,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,84.4,0.36,CALM
2025-10-06T09:09:07.883868,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:09:19.186440,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:09:24.033605,estudiante_02,SIN ATENCION VISUAL,HABLA MUY CORTA,133.6,0.19,HAPPY
2025-10-06T09:09:29.699866,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,129.6,0.41,HAPPY
2025-10-06T09:09:33.820141,estudiante_03,OJOS CERRADOS,DIFICULTAD DE FLUIDEZ,126.8,0.5,HAPPY
2025-10-06T09:09:33.939828,estudiante_01,OJOS CERRADOS,HABLA FLUIDA,126.4,0.89,SAD
2025-10-06T09:09:36.220781,estudiante_04,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:09:38.748994,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:09:38.903101,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:09:49.553513,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:10:05.772577,estudiante_03,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:10:12.933912,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:10:29.181513,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:10:35.780667,estudiante_01,ATENTO,HABLA FLUIDA,139.4,0.9,SAD
2025-10-06T09:10:46.623272,estudiante_01,ATENTO,HABLA FLUIDA,155.7,0.84,DISGUST
2025-10-06T09:11:16.564107,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:11:18.810821,estudiante_01,DISTRACCION,DIFICULTAD DE FORMULACIÓN,114.6,0.31,FEARFUL
2025-10-06T09:11:24.125105,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:11:30.375413,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:11:47.869400,estudiante_03,SIN ATENCION VISUAL,HABLA LENTA,85.0,0.69,CALM
2025-10-06T09:11:50.557882,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:11:53.327447,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:12:00.634393,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:12:03.721112,estudiante_01,ATENTO,HABLA FLUIDA,137.7,0.83,ANGRY
2025-10-06T09:12:20.930480,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:12:30.793848,estudiante_03,ATENTO,DIFICULTAD DE FORMULACIÓN,106.6,0.73,SAD
2025-10-06T09:12:34.733369,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:12:45.013424,estudiante_01,ATENTO,HABLA FLUIDA,141.4,0.77,SAD
2025-10-06T09:13:02.465746,estudiante_02,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:13:07.171476,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:13:09.451070,estudiante_04,ATENTO,HABLA MUY CORTA,112.7,0.82,DISGUST
2025-10-06T09:13:10.252693,estudiante_03,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:13:14.308136,estudiante_04,OJOS CERRADOS,LENGUAJE DESESTRUCTURADO,95.2,0.02,HAPPY
2025-10-06T09:13:20.043213,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:13:26.535384,estudiante_03,SIN ATENCION VISUAL,HABLA LENTA,83.3,0.04,FEARFUL
2025-10-06T09:13:36.057597,estudiante_02,DISTRACCION,DIFICULTAD DE FORMULACIÓN,91.8,0.59,ANGRY
2025-10-06T09:13:37.937451,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:13:48.715048,estudiante_01,ATENTO,HABLA FLUIDA,128.9,0.8,ANGRY
2025-10-06T09:13:50.250847,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:13:55.884876,estudiante_03,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:13:57.972311,estudiante_03,OJOS CERRADOS,HABLA FLUIDA,136.4,0.74,NEUTRAL
2025-10-06T09:14:02.186551,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:14:12.883176,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:14:15.533122,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:14:15.778932,estudiante_01,ATENTO,HABLA FLUIDA,157.4,0.73,ANGRY
2025-10-06T09:14:24.208536,estudiante_02,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:14:30.071057,estudiante_01,ATENTO,HABLA FLUIDA,145.1,0.77,SURPRISED
2025-10-06T09:14:31.262075,estudiante_01,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:14:57.419520,estudiante_02,SIN ATENCION VISUAL,HABLA LENTA,91.9,0.54,ANGRY
2025-10-06T09:15:00.195059,estudiante_04,SIN ATENCION VISUAL,HABLA LENTA,86.6,0.63,CALM
2025-10-06T09:15:07.744485,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:15:35.145254,estudiante_03,DISTRACCION,DIFICULTAD DE FLUIDEZ,81.8,0.84,NEUTRAL
2025-10-06T09:15:44.531169,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,80.3,0.87,CALM
2025-10-06T09:15:47.679105,estudiante_04,DISTRACCION,LENGUAJE DESESTRUCTURADO,124.5,0.09,CALM
2025-10-06T09:15:51.770112,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:16:00.505555,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,132.9,0.73,NEUTRAL
2025-10-06T09:16:00.637934,estudiante_04,SIN ATENCION VISUAL,HABLA LENTA,90.6,0.44,ANGRY
2025-10-06T09:16:14.392596,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:16:34.806970,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:16:38.805081,estudiante_03,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,100.4,0.09,NEUTRAL
2025-10-06T09:16:40.156644,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:16:43.796791,estudiante_02,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:16:54.916742,estudiante_01,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:16:56.807393,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:16:58.095177,estudiante_04,SIN ATENCION VISUAL,HABLA LENTA,79.3,0.68,CALM
2025-10-06T09:16:58.796482,estudiante_03,ATENTO,DIFICULTAD DE FORMULACIÓN,83.6,0.32,ANGRY
2025-10-06T09:17:14.961365,estudiante_04,DISTRACCION,LENGUAJE DESESTRUCTURADO,141.6,0.07,SURPRISED
2025-10-06T09:17:15.979202,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:17:16.684500,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:17:40.579832,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:17:41.773199,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:17:42.709240,estudiante_02,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,135.6,0.15,FEARFUL
2025-10-06T09:17:43.217288,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:17:57.770363,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,97.6,0.72,NEUTRAL
2025-10-06T09:17:58.949054,estudiante_03,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:18:08.346259,estudiante_03,DISTRACCION,HABLA MUY CORTA,80.3,0.22,HAPPY
2025-10-06T09:18:10.181148,estudiante_02,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:18:17.218581,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:18:28.667034,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:18:32.770119,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:18:36.059333,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:18:44.072117,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,140.6,0.71,NEUTRAL
2025-10-06T09:18:46.312988,estudiante_03,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:18:46.971918,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:18:57.972713,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:19:03.404431,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:19:03.622860,estudiante_04,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,80.4,0.03,DISGUST
2025-10-06T09:19:14.555977,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:19:29.375936,estudiante_04,SIN ATENCION VISUAL,HABLA FLUIDA,157.8,0.74,SURPRISED
2025-10-06T09:19:31.257437,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:19:40.489724,estudiante_03,ATENTO,LENGUAJE DESESTRUCTURADO,140.1,0.04,FEARFUL
2025-10-06T09:19:47.777751,estudiante_04,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:19:52.428401,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,138.2,0.16,FEARFUL
2025-10-06T09:20:00.396680,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:20:08.025899,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:20:11.745758,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:20:15.355419,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:20:19.599663,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:20:27.367582,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:20:31.826848,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:20:32.363659,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:20:33.360000,estudiante_01,SIN ATENCION VISUAL,HABLA FLUIDA,124.8,0.78,NEUTRAL
2025-10-06T09:20:42.820330,estudiante_01,ATENTO,HABLA FLUIDA,154.3,0.72,NEUTRAL
2025-10-06T09:20:57.638671,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:21:02.484671,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:21:05.175210,estudiante_03,ATENTO,DIFICULTAD DE FORMULACIÓN,104.2,0.62,NEUTRAL
2025-10-06T09:21:14.411472,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:21:16.041933,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:21:23.555973,estudiante_01,ATENTO,HABLA FLUIDA,149.1,0.76,SURPRISED
2025-10-06T09:21:49.975995,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:21:53.778194,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:22:10.219930,estudiante_04,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,131.1,0.09,DISGUST
2025-10-06T09:22:14.909832,estudiante_01,ATENTO,DIFICULTAD DE FLUIDEZ,123.5,0.85,SURPRISED
2025-10-06T09:22:20.138823,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:22:26.708013,estudiante_01,ATENTO,HABLA FLUIDA,149.4,0.76,SAD
2025-10-06T09:22:33.579050,estudiante_03,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:22:36.136700,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:22:51.484157,estudiante_01,ATENTO,HABLA FLUIDA,147.2,0.92,DISGUST
2025-10-06T09:22:53.823473,estudiante_02,DISTRACCION,DIFICULTAD DE FORMULACIÓN,149.0,0.08,ANGRY
2025-10-06T09:22:54.310795,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:22:58.373500,estudiante_04,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,106.1,0.02,SURPRISED
2025-10-06T09:23:06.803755,estudiante_04,ATENTO,DIFICULTAD DE FORMULACIÓN,105.8,0.26,ANGRY
2025-10-06T09:23:08.990132,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,130.0,0.84,CALM
2025-10-06T09:23:09.839999,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:23:24.483763,estudiante_04,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:23:30.063429,estudiante_03,ATENTO,HABLA FLUIDA,138.2,0.78,HAPPY
2025-10-06T09:23:35.389683,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:23:37.420429,estudiante_01,ATENTO,HABLA FLUIDA,148.3,0.81,DISGUST
2025-10-06T09:23:48.656696,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:23:55.652399,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:24:05.175873,estudiante_01,ATENTO,DIFICULTAD DE FORMULACIÓN,112.8,0.31,DISGUST
2025-10-06T09:24:08.124372,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:24:10.917474,estudiante_03,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:24:27.387864,estudiante_01,ATENTO,HABLA LENTA,91.0,0.87,DISGUST
2025-10-06T09:24:31.174977,estudiante_04,SIN ATENCION VISUAL,HABLA FLUIDA,159.3,0.93,CALM
2025-10-06T09:24:34.810357,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:24:35.668389,estudiante_02,DISTRACCION,HABLA MUY CORTA,85.3,0.54,SAD
2025-10-06T09:24:46.348971,estudiante_03,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:24:49.554380,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:24:51.137106,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:24:54.773531,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,121.6,0.51,ANGRY
2025-10-06T09:25:02.555896,estudiante_04,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:25:03.925830,estudiante_02,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:25:04.721709,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:25:14.303709,estudiante_02,OJOS CERRADOS,HABLA MUY CORTA,120.7,0.12,SURPRISED
2025-10-06T09:25:40.992221,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:25:46.115621,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:25:47.009947,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:25:51.354000,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:25:51.493514,estudiante_04,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,132.6,0.03,SURPRISED
2025-10-06T09:26:14.947099,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:26:21.964227,estudiante_01,ATENTO,HABLA FLUIDA,125.8,0.76,FEARFUL
2025-10-06T09:26:28.649106,estudiante_01,ATENTO,HABLA FLUIDA,148.4,0.91,CALM
2025-10-06T09:26:38.531001,estudiante_04,SIN ATENCION VISUAL,LENGUAJE DESESTRUCTURADO,85.6,0.09,CALM
2025-10-06T09:26:39.230183,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:26:41.179957,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:26:50.117442,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:26:50.399161,estudiante_04,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:26:54.706383,estudiante_03,ATENTO,DIFICULTAD DE FORMULACIÓN,148.1,0.22,SURPRISED
2025-10-06T09:26:54.798166,estudiante_03,ATENTO,HABLA FLUIDA,148.7,0.75,CALM
2025-10-06T09:27:02.095400,estudiante_01,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:27:05.965257,estudiante_02,DISTRACCION,DIFICULTAD DE FORMULACIÓN,118.5,0.58,CALM
2025-10-06T09:27:14.785089,estudiante_03,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:27:15.032729,estudiante_02,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,113.0,0.02,FEARFUL
2025-10-06T09:27:16.701169,estudiante_01,ATENTO,DIFICULTAD DE FORMULACIÓN,87.7,0.57,HAPPY
2025-10-06T09:27:28.874142,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,108.5,0.18,NEUTRAL
2025-10-06T09:27:33.290320,estudiante_02,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:27:37.130891,estudiante_02,SIN ATENCION VISUAL,HABLA MUY CORTA,107.6,0.87,DISGUST
2025-10-06T09:27:39.727331,estudiante_01,ATENTO,HABLA FLUIDA,120.2,0.76,HAPPY
2025-10-06T09:27:40.849563,estudiante_04,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,104.7,0.7,FEARFUL
2025-10-06T09:27:42.842525,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:27:45.198791,estudiante_01,SIN ATENCION VISUAL,HABLA MUY CORTA,100.8,0.57,CALM
2025-10-06T09:27:46.443661,estudiante_02,SIN ATENCION VISUAL,HABLA MUY CORTA,85.6,0.34,CALM
2025-10-06T09:27:53.915496,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:27:58.187482,estudiante_01,DISTRACCION,HABLA FLUIDA,149.7,0.81,SURPRISED
2025-10-06T09:28:01.198096,estudiante_04,SIN ATENCION VISUAL,HABLA MUY CORTA,142.2,0.05,ANGRY
2025-10-06T09:28:06.692876,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:28:09.658590,estudiante_04,OJOS CERRADOS,HABLA LENTA,76.8,0.16,HAPPY
